gene	betweenness_norm	eigenvector_norm	betweenness_tumor	eigenvector_tumor	diff_betweenness	diff_eigenvector	rank_bet	rank_eig	ensemble_score	final_rank	delta_betweenness	delta_eigenvector
ERBB2	3813.5	0.027303	812.0	0.032635	3001.5	0.0053319999999999965	0.9875	0.9958705357142857	0.9834221540178573	29	-3001.5	0.0053319999999999965
LMBR1L	278.5	0.029242	4404.5	0.025502	4126.0	0.0037400000000000003	0.9927455357142857	0.9893973214285714	0.9822197738958864	30	4126.0	-0.0037400000000000003
TOPBP1	884.5	0.032056	4230.0	0.027639	3345.5	0.004417000000000001	0.9893973214285714	0.9926339285714286	0.9821093500876914	31	3345.5	-0.004417000000000001
MECP2	7242.666667	0.049208	1640.0	0.052609	5602.666667	0.0034010000000000012	0.9952008928571429	0.9866629464285714	0.9819278452347736	32	-5602.666667	0.0034010000000000012
NEK4	1190.5	0.021604	5027.5	0.017987	3837.0	0.003617000000000002	0.9915178571428571	0.9881696428571428	0.9797878467793367	33	3837.0	-0.003617000000000002
ADNP	28.0	0.017303	6613.5	0.01431	6585.5	0.002992999999999999	0.9969866071428571	0.9825892857142857	0.9796283581792092	34	6585.5	-0.002992999999999999
RELA	3276.0	0.04085	978.0	0.046902	2298.0	0.006052000000000002	0.9822544642857143	0.9973214285714286	0.9796234255420918	35	-2298.0	0.006052000000000002
RBM27	40.0	0.013152	4209.166667	0.009899	4169.166667	0.0032530000000000007	0.99296875	0.9852678571428571	0.9783401925223214	36	4169.166667	-0.0032530000000000007
FUBP3	93.0	0.022161	3620.333333	0.018645	3527.333333	0.0035160000000000018	0.9901785714285715	0.9878348214285714	0.9781328722895408	37	3527.333333	-0.0035160000000000018
USP9X	3919.0	0.02418	8811.166667	0.021063	4892.1666669999995	0.0031170000000000017	0.99375	0.9840401785714286	0.9778899274553572	38	4892.1666669999995	-0.0031170000000000017
RRBP1	3096.0	0.022406	223.0	0.026371	2873.0	0.003965	0.9863839285714285	0.9910714285714286	0.9775769292091837	39	-2873.0	0.003965
HSP90AB1	3022.0	0.051716	1092.0	0.061439	1930.0	0.009723000000000002	0.9779017857142858	0.9995535714285714	0.9774652224170919	40	-1930.0	0.009723000000000002
DDRGK1	19655.0	0.059093	1764.0	0.056363	17891.0	0.0027299999999999963	0.9991071428571429	0.978125	0.9772516741071429	41	-17891.0	-0.0027299999999999963
CLTC	442.833333	0.044511	2566.5	0.038851	2123.666667	0.005660000000000005	0.9801339285714286	0.9965401785714286	0.9767428402024873	42	2123.666667	-0.005660000000000005
FUBP1	184.0	0.027749	2211.5	0.021963	2027.5	0.0057859999999999995	0.9793526785714286	0.9969866071428571	0.9764015042051978	43	2027.5	-0.0057859999999999995
SKP1	7617.0	0.023995	344.5	0.026743	7272.5	0.0027480000000000004	0.9975446428571428	0.9783482142857143	0.9759460200095663	44	-7272.5	0.0027480000000000004
CD2BP2	438.5	0.018475	3513.0	0.015094	3074.5	0.0033809999999999986	0.9880580357142857	0.9862723214285715	0.974494292590083	45	3074.5	-0.0033809999999999986
POR	6696.5	0.011479	129.0	0.014181	6567.5	0.0027019999999999995	0.996875	0.9774553571428571	0.9744008091517856	46	-6567.5	0.0027019999999999995
STX7	3766.666667	0.019479	521.0	0.022746	3245.666667	0.003266999999999999	0.9888392857142857	0.9853794642857143	0.9743819256218113	47	-3245.666667	0.003266999999999999
CUL1	3481.5	0.043385	734.0	0.047025	2747.5	0.0036399999999999974	0.9853794642857143	0.98828125	0.9738320486886161	48	-2747.5	0.0036399999999999974
CCNT1	1243.0	0.016562	6471.5	0.013797	5228.5	0.002765	0.9943080357142857	0.9786830357142857	0.9731124068279656	49	5228.5	-0.002765
SFN	5367.0	0.031224	286.0	0.033993	5081.0	0.002769000000000004	0.9940848214285715	0.9787946428571429	0.9730048977598853	50	-5081.0	0.002769000000000004
CUL3	21536.0	0.102783	23584.833333	0.098227	2048.8333329999987	0.0045560000000000045	0.9794642857142857	0.9930803571428571	0.9726867426658163	51	2048.8333329999987	-0.0045560000000000045
ANKRD17	1335.0	0.014274	5698.0	0.0115	4363.0	0.0027740000000000004	0.9933035714285714	0.9790178571428572	0.9724619339923469	52	4363.0	-0.0027740000000000004
LMNA	1417.0	0.055054	9251.5	0.052552	7834.5	0.0025019999999999973	0.9981026785714285	0.97421875	0.9723703438895089	53	7834.5	-0.0025019999999999973
